,B1,B2,B3,B4,B5,B6,B7,CMANAME,CMAPUID,CMATYPE,CMAUID,CTNAME,CTUID,PRNAME,PRUID,UniqueID,ndvi,pixel_qa,radsat_qa,sr_atmos_opacity,sr_cloud_qa
0,460.07916982738,712.982259198919,556.6107062181402,3194.9873493380883,1722.6745278484882,2950.679160591059,919.3637577936942,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0822.05,5050822.05,Quebec / Québec,24,1,0.7017728772227061,67.18160832576714,0.0,197.6170132090391,0.23355907807406392
1,379.2578439473549,610.2273468489778,440.89152661347816,3222.4092781297754,1611.8241549533614,2946.575011975126,764.6651841299949,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0822.06,5050822.06,Quebec / Québec,24,2,0.7005596817345244,66.5498763489953,0.0,192.05025521184754,1.987960564122298
2,766.1074201627621,1005.6592849248291,936.6769701640861,2550.8029689571035,1775.8456552068265,3007.164523318063,1256.4360417064463,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0506.00,5050506.00,Quebec / Québec,24,14,0.4610385353526027,66.80033059648139,0.0,286.8418697934886,0.1903271260545429
3,429.0235081889478,615.0857427212921,486.95867388855055,2452.6684716782397,1283.5116732250544,2953.078403821445,694.582937563294,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0507.00,5050507.00,Quebec / Québec,24,15,0.6046341414858981,66.91267848708027,0.0,247.01668758856596,4.8583921321406285
4,858.5999793714379,1113.0684258766555,1067.1041390740122,2424.321739925407,1904.5493761032196,3007.523639628406,1448.6554280074913,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0508.00,5050508.00,Quebec / Québec,24,16,0.39222644066956075,66.98114127517331,0.019128302620999404,307.7291141673679,0.15938845691326392
5,726.9437795211186,958.8421518978719,898.5727045945598,2468.659657708379,1713.9343463947591,3017.3257189010137,1224.8043887211434,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0509.00,5050509.00,Quebec / Québec,24,17,0.4621634765750754,66.18691767143551,0.0,267.62514909656016,0.007088476454671239
6,500.13899808599416,701.7094508817344,579.8938176948533,2519.7162506651684,1381.4115447729803,2960.299619520451,788.7306786131863,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0600.00,5050600.00,Quebec / Québec,24,18,0.551641285182814,67.84857155327973,0.0,247.39827674431362,3.0907253814314486
7,590.3300030594647,765.8153844769466,681.1490074738339,1892.7516717786289,1181.1984178199662,2970.551821923763,801.2159647467465,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0500.00,5050500.00,Quebec / Québec,24,19,0.3994815340575113,68.12996552318128,0.0,327.57484374879493,5.879254004941423
8,839.5213542783615,1053.6380817070553,1013.5504128243618,2154.3188344413466,1655.985186575166,3019.520962899421,1292.9327096289935,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0501.00,5050501.00,Quebec / Québec,24,20,0.34729812170023144,67.32550932875827,0.0,358.3162180999356,0.7821842161698475
9,802.055111194505,1054.2926348736148,1005.408496334105,2447.5688276120877,1796.850759228614,3011.1291117813703,1349.0061979882992,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0502.00,5050502.00,Quebec / Québec,24,21,0.41606242143897026,66.36092053600123,0.0,319.71332956729856,0.5833834029650539
10,659.4932126337201,892.690439668738,805.540982499086,2740.8780300742314,1770.586606475814,3001.6632902036204,1159.2844693296877,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0503.00,5050503.00,Quebec / Québec,24,22,0.5407734671049956,66.94964314666747,0.0,271.4864371890451,1.4680779196007052
11,719.5661812549312,947.3368170118696,878.5902071205247,2512.770560901039,1711.6101792510988,3011.3397882153827,1207.6265035959652,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0505.00,5050505.00,Quebec / Québec,24,23,0.47933765575428394,66.06920716083081,0.0,266.03255943846585,0.5299337237356558
12,718.6953783765185,965.8415662853056,873.8212691660794,2769.411580384307,1767.9795828552335,3001.729427222116,1164.6338708877247,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0611.00,5050611.00,Quebec / Québec,24,68,0.5117580376311763,66.60872793730512,0.0,227.6236495126163,0.0667870122762124
13,260.77414614639196,475.7082324753916,288.3821499721805,3633.156788503499,1627.716053642214,2925.6870861313896,643.2821590862056,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0900.00,5050900.00,Quebec / Québec,24,78,0.825252089211108,66.48727719074908,0.002573546404209126,113.7708540526714,1.9191983234745233
14,284.85611616727994,533.2891743528324,333.7002651406424,3967.072809829959,1791.89148944757,2928.4273045885043,727.928449340894,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0901.00,5050901.00,Quebec / Québec,24,79,0.836953255726958,66.18995207321866,0.003463144251235108,132.30877402301414,0.3434463517055141
15,473.69072378073645,658.5971888541662,531.0734157449053,2459.5613600920046,1338.513123430698,2958.6759816229846,746.5327749578004,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0800.00,5050800.00,Quebec / Québec,24,82,0.564646259692344,66.92858132071264,0.0,250.5542007622969,4.9736407409414545
16,439.66215921498804,643.3381816422386,492.57306224110766,2888.25111211892,1456.6802499234518,2954.9824252713875,745.4419751954155,Ottawa - Gatineau (partie du Québec / Quebec part),24505,B,505,0504.01,5050504.01,Quebec / Québec,24,83,0.6305587987761824,67.00725982564285,0.0,257.8837915166991,2.335255830680617
